"ALIGN_SPLIT","OPTIMIZE_SPLIT","OPTIMIZE_REPS","CUDA_THREADS","N_RESTART","CLIPPING","SIM_THRESH","BUFFER_SIZE","TIME","AVG_RMSD","AVG_RMSD^3_TIME"
32,16,2,128,256,10,3,2097152,122.13,2.64,2247.16073472
8,8,1,32,256,50,1,5242880,86.049,2.42,1219.528419912
8,8,2,32,1024,30,3,20971520,238.027,2.63,4330.055555069
8,8,2,96,1024,50,1,1048576,257.928,2.4,3565.596672
8,8,2,128,256,256,4,52428800,98.871,2.16,996.391881216
8,8,2,224,1024,10,4,5242880,282.67,2.93,7110.21249119
8,8,3,224,1024,30,2,20971520,377.607,2.51,5971.194270357
8,8,4,160,256,256,3,5242880,120.926,2.15,1201.80793525
8,8,4,224,1024,256,1,1048576,481.429,2.16,4851.695107584
8,8,5,96,1024,30,2,20971520,495.267,2.5,7738.546875
8,8,5,128,1024,10,2,52428800,463.255,2.83,10499.761203685
8,8,5,160,256,50,4,1048576,132.746,2.43,1904.760008622
8,8,5,192,256,30,2,1048576,142.272,2.48,2170.073677824
8,8,5,192,1024,50,2,1048576,502.374,2.44,7297.878585216
8,12,3,64,256,50,3,2097152,136.56,2.35,1772.25861
8,12,4,64,256,10,4,20971520,155.288,2.75,3229.505125
8,12,4,96,256,10,3,1048576,139.113,2.67,2647.899517419
8,12,4,192,256,10,3,52428800,140.071,2.67,2666.134245573
8,12,4,192,256,30,1,2097152,140.683,2.42,1993.828129304
8,12,4,192,256,50,2,20971520,141.608,2.29,1700.568914312
8,12,4,256,1024,30,1,20971520,496.395,2.39,6776.744332005
8,12,5,192,256,10,1,5242880,163.786,2.71,3259.752666646
8,16,1,96,256,30,2,52428800,88.755,2.43,1273.537240785
8,16,1,96,256,256,4,52428800,79.355,2.15,788.659748125
8,16,1,96,1024,256,1,10485760,226.234,2.18,2343.836726288
8,16,1,128,256,256,2,5242880,95.494,2.15,949.05518225
8,16,2,32,256,10,4,52428800,105.48,2.78,2266.23273696
8,16,2,64,1024,10,4,10485760,396.397,2.88,9469.080797184
8,16,3,192,1024,256,2,1048576,472.708,2.11,4440.586335148
8,16,3,224,1024,30,4,5242880,502.88,2.64,9252.86326272
8,16,4,32,1024,256,2,52428800,542.488,2.11,5096.094840328
8,16,4,64,256,50,4,10485760,180.962,2.37,2408.975734986
8,20,2,64,256,10,3,52428800,124.379,2.73,2530.667000043
8,20,2,224,256,256,4,2097152,130.633,2.11,1227.157388323
8,20,3,192,1024,30,3,20971520,511.502,2.45,7522.21234975
8,20,4,64,256,50,4,1048576,200.007,2.36,2628.943209792
8,20,4,128,256,30,2,5242880,164.013,2.4,2267.315712
8,20,4,128,1024,256,1,52428800,616.227,2.06,5386.943048232
8,20,4,160,1024,10,2,10485760,591.068,2.72,11894.444376064
8,20,4,192,256,30,3,2097152,174.101,2.41,2436.982403621
8,20,5,64,1024,10,2,5242880,927.913,2.72,18672.994586624
8,24,1,192,256,256,1,10485760,104.744,2.15,1040.985151
8,24,2,256,1024,50,1,2097152,426.57,2.3,5190.07719
8,24,3,64,1024,30,2,10485760,678.613,2.38,9148.566435736
8,24,3,160,1024,10,3,20971520,529.923,2.68,10200.398799936
8,24,3,256,1024,30,3,20971520,573.133,2.5,8955.203125
8,24,4,96,256,30,1,5242880,188.634,2.43,2706.691723038
8,24,4,192,1024,50,1,10485760,722.825,2.28,8567.1763344
8,24,4,224,256,50,3,5242880,205.673,2.34,2635.268404392
8,24,4,256,256,50,2,5242880,195.46,2.31,2409.31638486
8,24,5,32,1024,256,4,5242880,819.307,2.16,8256.726876672
8,24,5,64,1024,10,2,10485760,1019.571,2.63,18547.471809237
8,24,5,224,1024,30,4,20971520,947.968,2.57,16091.370977024
