confidence,hypo_step,max_arm_length,num_threads,exec_time_s,cost
64,3,16,32,85.73,2743360
64,3,16,32,91.1,2915200
44,3,16,32,71.72,2295040
34,3,16,32,70.38,2252160
24,3,16,32,75.66,2421120
14,3,16,32,70.38,2252160
64,2,16,32,80.15,2564800
54,2,16,32,81.93,2621760
44,2,16,32,96.38,3084160
34,2,16,32,93.42,2989440
24,2,16,32,97.86,3131520
14,2,16,32,92.61,2963520
64,1,16,32,157.84,5050880
54,1,16,32,132.31,4233920
44,1,16,32,141.95,4542400
34,1,16,32,128.73,4119360
24,1,16,32,135.0,4320000
14,1,16,32,141.15,4516800
64,3,15,32,87.31,2793920
54,3,15,32,87.92,2813440
44,3,15,32,92.79,2969280
34,3,15,32,78.58,2514560
24,3,15,32,79.5,2544000
14,3,15,32,86.88,2780160
64,2,15,32,114.34,3658880
54,2,15,32,102.41,3277120
44,2,15,32,107.19,3430080
34,2,15,32,94.76,3032320
24,2,15,32,85.04,2721280
14,2,15,32,96.12,3075840
64,1,15,32,145.38,4652160
54,1,15,32,143.09,4578880
44,1,15,32,147.42,4717440
34,1,15,32,125.21,4006720
24,1,15,32,144.02,4608640
14,1,15,32,131.11,4195520
64,3,14,32,74.86,2395520
54,3,14,32,65.5,2096000
44,3,14,32,67.45,2158400
34,3,14,32,77.33,2474560
24,3,14,32,78.43,2509760
14,3,14,32,76.79,2457280
64,2,14,32,95.68,3061760
54,2,14,32,88.66,2837120
44,2,14,32,99.86,3195520
34,2,14,32,92.84,2970880
24,2,14,32,89.47,2863040
14,2,14,32,79.22,2535040
64,1,14,32,129.65,4148800
54,1,14,32,126.26,4040320
44,1,14,32,129.32,4138240
34,1,14,32,134.11,4291520
24,1,14,32,121.84,3898880
14,1,14,32,135.75,4344000
64,3,13,32,72.19,2310080
54,3,13,32,88.17,2821440
44,3,13,32,73.33,2346560
34,3,13,32,70.07,2242240
24,3,13,32,69.22,2215040
14,3,13,32,64.34,2058880
64,2,13,32,79.17,2533440
54,2,13,32,76.9,2460800
44,2,13,32,79.29,2537280
34,2,13,32,79.7,2550400
24,2,13,32,83.46,2670720
14,2,13,32,86.4,2764800
64,1,13,32,124.94,3998080
54,1,13,32,121.66,3893120
44,1,13,32,130.03,4160960
34,1,13,32,125.92,4029440
24,1,13,32,126.92,4061440
14,1,13,32,127.72,4087040
64,3,12,32,64.94,2078080
54,3,12,32,68.34,2186880
44,3,12,32,68.92,2205440
34,3,12,32,71.43,2285760
24,3,12,32,63.85,2043200
14,3,12,32,60.19,1926080
64,2,12,32,82.89,2652480
54,2,12,32,86.87,2779840
44,2,12,32,83.23,2663360
34,2,12,32,86.39,2764480
24,2,12,32,79.59,2546880
14,2,12,32,77.34,2474880
64,1,12,32,141.36,4523520
54,1,12,32,129.81,4153920
44,1,12,32,127.43,4077760
34,1,12,32,123.59,3954880
24,1,12,32,121.9,3900800
14,1,12,32,128.52,4112640
64,3,11,32,65.98,2111360
54,3,11,32,68.24,2183680
44,3,11,32,61.87,1979840
34,3,11,32,60.22,1927040
24,3,11,32,65.96,2110720
14,3,11,32,65.71,2102720
64,2,11,32,78.43,2509760
54,2,11,32,82.28,2632960
44,2,11,32,77.44,2478080
34,2,11,32,86.1,2755200
34,2,11,32,88.4,2828800
14,2,11,32,82.16,2629120
64,1,11,32,125.31,4009920
54,1,11,32,126.65,4052800
44,1,11,32,122.32,3914240
34,1,11,32,119.6,3827200
24,1,11,32,125.67,4021440
14,1,11,32,126.75,4056000
64,3,10,32,64.76,2072320
54,3,10,32,69.7,2230400
44,3,10,32,71.56,2289920
34,3,10,32,74.55,2385600
24,3,10,32,70.08,2242560
14,3,10,32,64.82,2074240
64,2,10,32,83.11,2659520
54,2,10,32,85.93,2749760
44,2,10,32,83.61,2675520
34,2,10,32,79.74,2551680
24,2,10,32,89.73,2871360
14,2,10,32,86.65,2772800
64,1,10,32,116.88,3740160
54,1,10,32,126.44,4046080
44,1,10,32,121.7,3894400
34,1,10,32,121.78,3896960
24,1,10,32,133.48,4271360
14,1,10,32,136.31,4361920
64,3,9,32,61.02,1952640
54,3,9,32,68.42,2189440
44,3,9,32,67.34,2154880
34,3,9,32,66.03,2112960
24,3,9,32,63.13,2020160
14,3,9,32,116.83,3738560
64,2,9,32,91.43,2925760
54,2,9,32,86.45,2766400
44,2,9,32,89.01,2848320
34,2,9,32,91.46,2926720
24,2,9,32,96.84,3098880
14,2,9,32,100.35,3211200
64,1,9,32,143.01,4576320
54,1,9,32,134.42,4301440
44,1,9,32,129.44,4142080
34,1,9,32,135.49,4335680
24,1,9,32,118.29,3785280
14,1,9,32,140.18,4485760
64,3,8,32,72.28,2312960
